Country,Country Code,Amount of Wins in the WC,Top Scorer for Team,Amount of Goals by Top Scorer,What Years Did They Win The WC,Current Captain 
Brazil,BRA,5,Pelé and Neymar,77,"1958, 1962, 1970, 1994, 2002",Casemiro
Germany,DEU,4,Miroslav Klose,71,"1954, 1974, 1990, 2014",Manuel Neuer
Italy,ITA,4,Gigi Riva,35,"1934, 1938, 1982, 2006",Leonardo Bonucci
Argentina,ARG,3,Lionel Messi ,102,"1978, 1986, 2022",Lionel Messi
France,FRA,2,Olivier Giroud ,53,"1998, 2018",Kylian Mbappe
Uruguay,URY,2,Luis Suárez,68,"1930, 1950",Federico Valverde
England,GBR,1,Harry Kane,55,1966,Harry Kane
Spain,ESP,1,David Villa,59,2010,Álvaro Morata
